no_mec,IDCARD_intersection,IDCARD_all,IDCARD_pct
10015399459,123,180,0.6833333333333333
10015404404,372,844,0.44075829383886256
10015406499,37262,41595,0.8958288255799975
10015441728,109438,121996,0.8970621987606151
10015444645,19437,23335,0.8329547889436468
10015468467,595,3493,0.17034068136272545
10015478566,207,253,0.8181818181818182
10015479596,17244,19121,0.9018356780503112
10015491859,1897,4417,0.4294770206022187
10015516402,243,821,0.29598051157125455
10015519625,1,19,0.05263157894736842
10015525578,2065,2284,0.9041155866900175
10015528022,7478,8126,0.9202559684961851
10015533876,406922,526461,0.7729385462550882
10015534988,121,1229,0.0984540276647681
10015537034,233983,274028,0.8538652984366562
10015538643,6019,6831,0.8811301419997072
10015577479,69707,72133,0.9663676819208962
10015587907,5538,5763,0.9609578344612181
10015642575,125253,225561,0.5552954633114767
10015646943,278973,430033,0.6487246327607417
10015648712,187,352,0.53125
10015649767,7,11,0.6363636363636364
10015651289,1726,11777,0.14655684809374203
10015651813,1143,1228,0.9307817589576547
10015652296,179,187,0.9572192513368984
10015652474,1,1,1.0
10015652923,16893,17809,0.9485653321354371
10015653668,1030,1091,0.9440879926672777
10015656638,88,339,0.25958702064896755
10015656761,299,349,0.8567335243553008
10015657060,2,4,0.5
10015657202,22,69,0.3188405797101449
10015657712,399,420,0.95
10015674815,654,2550,0.2564705882352941
10015676017,201,217,0.9262672811059908
10015676603,25,163,0.15337423312883436
10015676907,307,14346,0.021399693294298062
10015676913,5905,7031,0.8398520836296401
10015676983,24,224,0.10714285714285714
10015688678,145,159,0.9119496855345912
10015689254,25,54,0.46296296296296297
10015689526,93,96,0.96875
10015691233,85575,98726,0.8667929420821263
10015691603,3,261,0.011494252873563218
10015691684,2,4,0.5
10015692453,70,383,0.18276762402088773
10015692600,28367,29837,0.9507323122297818
10015693181,20918,44627,0.46872969278687787
10015693223,1329,1571,0.8459579885423297
10015694567,94,97,0.9690721649484536
10015696355,1564,2208,0.7083333333333334
10015700337,13,16,0.8125
10015703153,431,434,0.9930875576036866
