no_mec,month,flag_overdue,IDCARD,fpd
10014725051,2018-04,52,1183,0.04395604395604396
10014725051,2018-05,61,684,0.0891812865497076
10014725051,2018-06,21,121,0.17355371900826447
10014725051,2018-07,10,187,0.053475935828877004
10014732732,2018-01,6975,13720,0.5083819241982507
10014732732,2018-02,188,1367,0.13752743233357717
10014732732,2018-03,114,1844,0.06182212581344902
10014732732,2018-04,112,1602,0.06991260923845194
10014732732,2018-05,142,970,0.1463917525773196
10014732732,2018-06,133,359,0.37047353760445684
10014732732,2018-07,22,383,0.057441253263707574
10014742519,2018-01,76,80,0.95
10014742519,2018-02,1,1,1.0
10014742519,2018-03,4,4,1.0
10014742519,2018-04,1,2,0.5
10014742519,2018-05,2,3,0.6666666666666666
10014745825,2018-01,286,15254,0.018749180542808445
10014745825,2018-02,44,4104,0.010721247563352826
10014745825,2018-03,6,6254,0.0009593859929645027
10014745825,2018-04,0,622,0.0
10014745825,2018-06,105,3919,0.026792549119673385
10014745825,2018-07,186,2306,0.08065915004336513
10014745825,2018-08,261,1490,0.17516778523489934
10014745825,2018-09,2944,4062,0.724766125061546
10014758227,2018-01,6946,10250,0.6776585365853659
10014758227,2018-02,5158,7564,0.6819143310417768
10014758227,2018-03,2695,3471,0.7764333045231921
10014758227,2018-04,2594,3844,0.6748178980228928
10014758227,2018-05,3696,5071,0.7288503253796096
10014758227,2018-06,782,1163,0.6723989681857265
10014758227,2018-07,925,1459,0.6339958875942426
10014758227,2018-08,827,1736,0.4763824884792627
10014758227,2018-09,1030,1878,0.5484558040468583
10014758749,2018-01,446,913,0.488499452354874
10014758749,2018-02,614,1185,0.5181434599156118
10014758749,2018-03,383,639,0.5993740219092332
10014758749,2018-04,490,920,0.532608695652174
10014758749,2018-05,759,1141,0.6652059596844873
10014758749,2018-06,109,258,0.42248062015503873
10014758749,2018-07,169,371,0.4555256064690027
10014758749,2018-08,187,432,0.43287037037037035
10014758749,2018-09,293,788,0.37182741116751267
10014758853,2018-01,19233,22412,0.8581563448152776
10014758853,2018-02,9840,11723,0.8393755864539794
10014758853,2018-03,8024,12025,0.6672765072765072
10014758853,2018-04,17260,27292,0.6324197567052616
10014758853,2018-05,18024,23961,0.7522223613371729
10014758853,2018-06,40651,55585,0.731330394890708
10014758853,2018-07,142015,179236,0.7923352451516437
10014758853,2018-08,107457,128165,0.8384270276596575
10014758853,2018-09,30789,33471,0.9198709330465179
10014787223,2018-01,0,12,0.0
10014789504,2018-01,143,30794,0.004643761771773722
10014789504,2018-02,1,2,0.5
10014789504,2018-04,1,1,1.0
10014793114,2018-01,141,3494,0.04035489410417859
10014793114,2018-02,35,3376,0.010367298578199052
10014793114,2018-03,522,914,0.5711159737417943
10014793114,2018-04,552,1688,0.32701421800947866
10014793114,2018-05,2420,16339,0.14811187955199218
10014793114,2018-06,735,5370,0.13687150837988826
10014793114,2018-07,45,351,0.1282051282051282
10014793114,2018-08,596,731,0.8153214774281806
10014793114,2018-09,702,824,0.8519417475728155
10014804668,2018-01,1739,36158,0.04809447425189446
10014804668,2018-02,679,11087,0.06124289708667809
10014804668,2018-03,4066,18715,0.21725888324873097
10014804668,2018-04,14128,31732,0.44522879112567754
10014804668,2018-05,6335,23565,0.2688308932739232
10014804668,2018-06,1222,7713,0.15843381304291457
10014804668,2018-07,673,5126,0.1312914553257901
10014804668,2018-08,190,855,0.2222222222222222
10014804708,2018-01,202,5957,0.03390968608359913
10014804708,2018-02,70,9339,0.0074954491915622656
10014804708,2018-03,115,18939,0.006072126300227044
10014804708,2018-04,91,12282,0.007409216739944635
10014804708,2018-05,56,10447,0.005360390542739542
10014804708,2018-06,48,10830,0.00443213296398892
10014804708,2018-07,57,12346,0.004616879961121011
10014804708,2018-08,34,4352,0.0078125
10014809503,2018-01,58,67,0.8656716417910447
10014850600,2018-01,515,18089,0.02847034109127094
10014850600,2018-02,277,4636,0.05974978429680759
10014850600,2018-03,282,3056,0.09227748691099476
10014850600,2018-04,1664,7001,0.23768033138123126
10014850600,2018-05,4228,13481,0.31362658556486905
10014850600,2018-06,2111,6551,0.32224087925507555
10014850600,2018-07,755,4870,0.15503080082135523
10014850600,2018-08,91,410,0.22195121951219512
10014850600,2018-09,1053,1324,0.7953172205438066
10014854591,2018-01,682,46136,0.014782382521241547
10014854591,2018-02,14,27858,0.0005025486395290401
10014854591,2018-03,1,14,0.07142857142857142
10014854591,2018-04,0,22,0.0
10014854591,2018-05,0,1,0.0
10014854591,2018-06,1,46,0.021739130434782608
10014854591,2018-09,1,190,0.005263157894736842
10014855246,2018-01,270,2128,0.12687969924812031
10014855246,2018-02,83,174,0.47701149425287354
10014855246,2018-03,25,350,0.07142857142857142
10014855246,2018-04,57,3800,0.015
10014855246,2018-05,153,27114,0.005642841336578889
10014855246,2018-06,31,305,0.10163934426229508
10014855246,2018-07,538,16569,0.03247027581628342
10014855246,2018-08,9122,29734,0.30678684334431966
10014855246,2018-09,23100,69998,0.330009428840824
10014880928,2018-01,57,7576,0.00752375923970433
10014887496,2018-01,1,2,0.5
10014898623,2018-01,0,2,0.0
10014898623,2018-05,1,35,0.02857142857142857
10014905156,2018-01,139,289,0.4809688581314879
10014905156,2018-02,27,46,0.5869565217391305
10014905156,2018-03,18,35,0.5142857142857142
10014905156,2018-04,13,27,0.48148148148148145
10014905156,2018-05,4,15,0.26666666666666666
10014905156,2018-06,8,25,0.32
10014905156,2018-07,4,12,0.3333333333333333
10014961761,2018-01,16484,18249,0.903282371636802
10014961761,2018-02,4000,4417,0.9055920307901291
10014961761,2018-03,1381,1550,0.8909677419354839
10014961761,2018-04,1163,1290,0.9015503875968992
10014961761,2018-05,663,714,0.9285714285714286
10014961761,2018-06,182,200,0.91
10014961761,2018-07,34,41,0.8292682926829268
10014961761,2018-08,18,20,0.9
10014961761,2018-09,12,14,0.8571428571428571
10014971429,2018-01,223,251,0.8884462151394422
10014986483,2018-06,1,2,0.5
10014986483,2018-09,1,1,1.0
10015002061,2018-01,134,140,0.9571428571428572
10015002061,2018-02,14,14,1.0
10015002061,2018-03,6,7,0.8571428571428571
10015002061,2018-04,3,3,1.0
10015002061,2018-05,6,6,1.0
10015002061,2018-06,0,1,0.0
10015002061,2018-07,1,1,1.0
10015007777,2018-01,0,1,0.0
10015071983,2018-01,589,3367,0.17493317493317492
10015071983,2018-02,213,698,0.30515759312320917
