no_mec,month,IDCARD
10015147303,2018-02,1134
10015147303,2018-03,943
10015147303,2018-04,722
10015147303,2018-06,366
10015147303,2018-07,236
10015147303,2018-08,143
10015147303,2018-09,89
10015179366,2017-09,159
10015185541,2018-01,1
10015191453,2018-01,14511
10015191453,2018-02,11491
10015191453,2018-03,2734
10015191453,2018-04,242
10015191453,2018-06,3072
10015191453,2018-08,7
10015205935,2017-09,1
10015205935,2017-10,73891
10015205935,2018-01,7
10015205935,2018-02,6
10015205935,2018-03,6817
10015205935,2018-04,1
10015205935,2018-06,1
10015307974,2017-09,21408
10015307974,2017-10,42362
10015307974,2018-01,25411
10015307974,2018-02,14139
10015307974,2018-03,2787
10015307974,2018-04,7376
10015307974,2018-06,45732
10015307974,2018-07,13634
10015307974,2018-08,1581
10015307974,2018-09,52
10015375255,2017-09,1
10015375255,2017-10,8
10015390594,2018-01,1576
10015390594,2018-02,1077
10015390594,2018-03,1209
10015390594,2018-04,2645
10015390594,2018-06,3093
10015391275,2017-09,28
10015391275,2017-10,153
10015391275,2018-01,943
10015391275,2018-02,534
10015391275,2018-03,775
10015391275,2018-04,803
10015391275,2018-06,1327
10015391275,2018-07,2575
10015391275,2018-08,5742
10015391275,2018-09,6187
10015399459,2017-09,71
10015399459,2017-10,59
10015399459,2018-01,133
10015399459,2018-02,5
10015399459,2018-03,3
10015399459,2018-04,4
10015404404,2017-09,57
10015404404,2017-10,171
10015404404,2018-06,545
10015404404,2018-07,555
10015404404,2018-08,531
10015404404,2018-09,487
10015406499,2017-09,5315
10015406499,2017-10,29098
10015406499,2018-01,15321
10015406499,2018-02,110
10015406499,2018-03,59
10015406499,2018-04,25
10015406499,2018-06,14
10015406499,2018-07,8
10015441728,2017-10,2
10015441728,2018-01,4755
10015441728,2018-02,123
10015441728,2018-03,45
10015441728,2018-04,1259
10015441728,2018-06,18634
10015441728,2018-07,41905
10015441728,2018-08,55098
10015441728,2018-09,70237
10015444645,2017-10,7785
10015444645,2018-01,13777
10015444645,2018-02,1856
10015444645,2018-03,2514
10015444645,2018-04,883
10015468467,2017-09,2
10015468467,2017-10,347
10015468467,2018-01,440
10015468467,2018-02,728
10015468467,2018-03,792
10015468467,2018-04,1009
10015468467,2018-06,2515
10015468467,2018-07,2197
10015468467,2018-08,1693
10015468467,2018-09,1591
10015478566,2017-09,8
10015478566,2017-10,5
10015478566,2018-01,163
10015478566,2018-02,100
10015478566,2018-03,5
10015479596,2017-09,1244
10015479596,2017-10,15181
10015479596,2018-01,1641
10015479596,2018-02,612
10015479596,2018-03,561
10015479596,2018-04,1592
10015479596,2018-06,453
10015479596,2018-07,415
10015479596,2018-08,215
10015479596,2018-09,107
10015491859,2017-10,4
10015491859,2018-01,2933
10015491859,2018-03,1
10015491859,2018-06,1
10015491859,2018-07,241
10015491859,2018-08,705
10015491859,2018-09,871
10015516402,2017-09,2
10015516402,2017-10,1
10015516402,2018-01,130
10015516402,2018-02,130
10015516402,2018-03,104
10015516402,2018-04,222
10015516402,2018-06,460
10015516402,2018-07,478
10015516402,2018-08,497
10015516402,2018-09,516
10015519625,2018-01,2
10015519625,2018-03,1
10015519625,2018-04,1
10015519625,2018-06,8
10015519625,2018-07,14
10015519625,2018-08,12
10015519625,2018-09,11
10015525578,2017-09,9
10015525578,2017-10,66
10015525578,2018-01,1859
10015525578,2018-02,1702
10015525578,2018-03,1711
10015525578,2018-04,185
10015525578,2018-06,317
10015525578,2018-07,222
10015525578,2018-08,166
10015525578,2018-09,123
10015528022,2017-10,4
10015528022,2018-01,5746
10015528022,2018-02,3447
10015528022,2018-03,2570
10015528022,2018-04,661
10015533876,2017-09,34740
10015533876,2017-10,268818
10015533876,2018-01,228972
10015533876,2018-03,12500
10015533876,2018-04,20006
10015533876,2018-06,502
10015533876,2018-07,351
10015533876,2018-08,2544
10015533876,2018-09,260
10015534988,2017-10,2
10015534988,2018-01,107
10015534988,2018-02,631
10015534988,2018-03,778
10015534988,2018-04,572
10015537034,2018-01,196913
10015537034,2018-02,204278
10015537034,2018-03,26000
10015537034,2018-04,4519
10015537034,2018-06,66
10015537034,2018-07,959
10015537034,2018-08,2580
10015537034,2018-09,1702
10015538643,2017-09,321
10015538643,2017-10,2105
10015538643,2018-01,4013
10015538643,2018-02,927
10015538643,2018-03,15
10015577479,2017-10,46602
10015577479,2018-01,25796
10015577479,2018-02,21865
10015577479,2018-03,31191
10015577479,2018-04,22305
10015587907,2017-09,4
10015587907,2017-10,3846
10015587907,2018-01,806
10015587907,2018-02,2343
10015587907,2018-03,326
10015587907,2018-04,3
10015642575,2017-09,1
10015642575,2017-10,1
10015642575,2018-01,58504
10015642575,2018-02,64829
10015642575,2018-03,71756
10015642575,2018-04,80102
10015642575,2018-06,112701
10015642575,2018-07,49641
10015642575,2018-08,11314
10015642575,2018-09,75903
10015646823,2017-09,7
10015646823,2017-10,1
10015646943,2017-09,86
10015646943,2017-10,2334
10015646943,2018-01,169754
10015646943,2018-02,79869
10015646943,2018-03,104411
10015646943,2018-04,24905
10015646943,2018-06,109279
10015646943,2018-07,9355
10015646943,2018-08,3298
10015646943,2018-09,3439
10015648712,2018-01,3
10015648712,2018-02,107
10015648712,2018-03,142
10015648712,2018-04,2
10015648712,2018-06,1
10015648712,2018-07,2
10015648712,2018-08,108
10015649767,2018-02,5
10015649767,2018-03,5
10015649767,2018-04,5
10015651289,2018-01,2
10015651289,2018-03,4
10015651289,2018-04,2
10015651289,2018-06,3313
10015651289,2018-07,5521
10015651289,2018-08,5855
10015651289,2018-09,4094
10015651813,2018-01,1096
10015651813,2018-02,36
10015651813,2018-03,43
10015651813,2018-04,32
10015651813,2018-06,6
10015651813,2018-07,5
10015651813,2018-08,10
10015651813,2018-09,11
10015652296,2017-09,2
10015652296,2017-10,182
10015652296,2018-01,114
10015652296,2018-02,79
10015652296,2018-03,21
10015652296,2018-04,16
10015652296,2018-06,6
10015652474,2018-06,1
10015652923,2018-01,17809
10015653668,2017-09,1
10015653668,2018-01,1090
10015656638,2017-10,1
10015656638,2018-01,41
10015656638,2018-02,57
10015656638,2018-03,97
10015656638,2018-04,104
10015656638,2018-06,188
10015656638,2018-07,217
10015656638,2018-08,224
10015656638,2018-09,213
10015656761,2018-06,2
10015656761,2018-07,98
10015656761,2018-08,201
10015656761,2018-09,274
10015657060,2017-09,3
10015657060,2017-10,4
10015657202,2017-10,3
10015657202,2018-01,64
10015657202,2018-02,14
10015657202,2018-03,9
10015657712,2017-09,2
10015657712,2017-10,3
10015657712,2018-01,417
10015657712,2018-02,9
10015657712,2018-03,4
10015657712,2018-04,5
10015658759,2017-09,2
10015658759,2017-10,5
10015658759,2018-01,3
10015674815,2017-10,3
10015674815,2018-01,32
10015674815,2018-02,306
10015674815,2018-03,441
10015674815,2018-04,641
10015674815,2018-06,1002
10015674815,2018-07,1312
10015674815,2018-08,1383
10015674815,2018-09,1309
10015676017,2018-01,216
10015676017,2018-03,2
10015676603,2017-09,11
