no_mec,month,IDCARD,amt_1st
10014202877,2018-04,248,2714.253427419356
10014202877,2018-06,164,5330.744268292687
10014202877,2018-07,161,5458.032670807456
10014202877,2018-08,156,5507.748012820514
10014202877,2018-09,155,5490.613096774196
10014227259,2017-09,35824,234.16570620860477
10014227259,2017-10,42754,235.35344510131378
10014227259,2018-01,100652,473.518691284337
10014227259,2018-02,97744,492.4203612297881
10014227259,2018-03,95420,505.73163613970223
10014227259,2018-04,86815,523.1882864806693
10014227259,2018-06,76320,584.812134091781
10014227259,2018-07,69069,617.2775501813812
10014227259,2018-08,12133,426.7135066645986
10014227259,2018-09,9253,543.3180788485585
10014323811,2017-09,316513,1664.7277791848696
10014323811,2017-10,302296,1723.0959972006176
10014323811,2018-01,5158,1687.1131732253027
10014323811,2018-02,1764,1598.6847457627134
10014323811,2018-03,1025,1584.5574177949711
10014323811,2018-04,546,1650.097018181818
10014323811,2018-06,246,1628.5897580645162
10014323811,2018-07,132,2649.1419548872195
10014323811,2018-08,71,2512.962394366197
10014323811,2018-09,66,2770.5343939393947
10014358888,2017-10,1,1.0
10014358888,2018-01,46105,1305.346119603633
10014358888,2018-02,1356,879.4399115044253
10014358888,2018-03,95710,679.4365467454353
10014358888,2018-04,132599,676.3456603336297
10014358888,2018-06,154188,1238.4133585133163
10014358888,2018-07,217056,1098.8845845854103
10014358888,2018-08,20401,906.4356796354272
10014485098,2017-09,1275,103.87667164179084
10014485098,2017-10,1552,105.83496928746932
10014485098,2018-01,3048,87.62153869226144
10014485098,2018-02,3043,87.16023593466412
10014485098,2018-03,3149,83.57317318435736
10014485098,2018-04,2294,81.37699851411578
10014485098,2018-06,2498,146.77081873435836
10014485098,2018-07,1710,160.65626395939069
10014485098,2018-08,1505,203.78835787089474
10014485098,2018-09,1670,200.55420237480652
10014499846,2018-06,78,1758.7415476190477
10014499846,2018-07,40,1497.6263414634145
10014499846,2018-08,30,1694.6893750000004
10014499846,2018-09,18,1692.377777777778
10014536627,2018-04,1,0.01
10014616858,2017-09,62506,2785.9560387682213
10014616858,2017-10,68157,2815.8333908270974
10014616858,2018-01,49634,2885.864922077523
10014616858,2018-02,89226,2995.5960810551196
10014616858,2018-03,96689,2781.421484756926
10014616858,2018-04,94674,2883.7077632006235
10014616858,2018-06,31280,3093.5784631088504
10014616858,2018-07,129476,2758.605411459655
10014616858,2018-08,134567,2739.3420353023494
10014616858,2018-09,118323,2715.8079949040816
10014620129,2017-09,15755,2177.3463735918067
10014620129,2017-10,25773,1849.071023241489
10014620129,2018-01,48156,633.8074761933993
10014620129,2018-02,5426,963.0045541459799
10014620129,2018-03,6947,978.9521056378125
10014620129,2018-04,6209,466.9441184924933
10014620129,2018-06,1345,1068.1803412462918
10014620129,2018-07,1238,909.0084083601294
10014655891,2017-09,26974,1001.9098609824106
10014655891,2017-10,23446,1749.6224443402139
10014655891,2018-01,37923,1105.5420568852592
10014655891,2018-02,38681,304.4445210827022
10014655891,2018-03,34425,299.29924415395794
10014655891,2018-04,36432,299.57365338164254
10014655891,2018-06,32944,314.02072909394445
10014655891,2018-07,802,1997.4062073027114
10014655891,2018-08,577,1635.6248322147644
10014655891,2018-09,92,1003.2729787234041
10014693748,2017-09,12094,8035.801750648252
10014693748,2017-10,12797,2974.0053596406538
10014693748,2018-01,2521,3248.209075292311
10014693748,2018-02,1203,3157.1414442699447
10014693748,2018-03,486,2868.8071684588076
10014693748,2018-04,249,3340.7709090909275
10014693748,2018-06,76,3544.379999999994
10014693748,2018-07,33,2056.4385714285722
10014693748,2018-08,41,1337.5411904761906
10014693748,2018-09,128,62.45007518797
10014700926,2017-09,227999,1148.72736267471
10014700926,2017-10,209112,1167.5880404960158
10014700926,2018-01,33384,1198.8611938722802
10014700926,2018-02,42196,374.3366424711654
10014700926,2018-03,69581,328.70028292710936
10014700926,2018-04,42171,418.32450254407127
10014700926,2018-06,22997,821.254641756216
10014700926,2018-07,24480,995.2676343414023
10014700926,2018-08,22504,1032.437105808631
10014700926,2018-09,18441,1131.126349312893
10014725051,2017-09,4438,1940.1314139389858
10014725051,2017-10,6445,1621.292444886716
10014725051,2018-01,31072,487.1234784398085
10014725051,2018-02,3113,914.0667669654285
10014725051,2018-03,3576,674.0877858136284
10014725051,2018-04,2268,405.57215438290444
10014725051,2018-06,386,422.77549222797944
10014725051,2018-07,451,493.3452106430152
10014732732,2017-09,752,1818.936231884058
10014732732,2017-10,1429,1783.4777572016446
10014732732,2018-01,13535,632.9898301749287
10014732732,2018-02,2505,1268.3734570858257
10014732732,2018-03,3096,981.1124999999961
10014732732,2018-04,2454,797.295446066507
10014732732,2018-06,622,1287.3549517684892
10014732732,2018-07,652,1075.7424999999998
10014742519,2017-09,43,3259.638139534884
10014742519,2017-10,54,2857.160555555555
10014742519,2018-01,80,2884.7916250000003
10014742519,2018-02,79,2909.9669620253167
10014742519,2018-03,82,2605.3356097560973
10014742519,2018-04,83,2880.4371084337345
10014742519,2018-06,77,2992.242077922078
